id,text,label
1,i didnt feel humiliated 😔,0
2,i can go from feeling so hopeless 😞 to so damned hopeful 🌈 just from being around someone who cares ❤️ and is awake 🌅,0
3,im grabbing a minute to post i feel greedy 🤑 wrong ❌,3
4,i am ever feeling nostalgic 🕰️ about the fireplace 🔥 i will know that it is still on the property 🏡,2
5,i am feeling grouchy 😠,3
6,ive been feeling a little burdened 😓 lately wasnt sure why that was 🤔,0
7,ive been taking or milligrams or times recommended amount 💊 and ive fallen asleep 😴 a lot faster but i also feel like so funny 😂,5
8,i feel as confused 😕 about life as a teenager or as jaded 😒 as a year old man 👴,4
9,i have been with petronas for years i feel that petronas has performed well 📈 and made a huge profit 💰,1
10,i feel romantic 💕 too,2
11,i feel like i have to make the suffering 😢 i m seeing mean something 🤍,0
12,i do feel that running 🏃‍♂️ is a divine experience ✨ and that i can expect to have some type of spiritual encounter 🙏,1
13,i think it s the easiest time of year to feel dissatisfied 😤,3
14,i feel low energy 😩 i m just thirsty 🥤,0
15,i have immense sympathy 🤝 with the general point but as a possible proto writer ✍️ trying to find time ⏳ this feels a little precious 💭,1
16,i do not feel reassured 😟 anxiety is on each side 😰,1
17,i didnt really feel that embarrassed 😳,0
18,i feel pretty pathetic 😞 most of the time,0
19,i started feeling sentimental 🧸 about dolls i had as a child 👧 and so began a collection 🎀,0
20,i now feel compromised 😐 and skeptical 🤨 of the value of every unit of work i put in,4
21,i feel irritated 😡 and rejected 💔 without anyone doing anything,3
22,i am feeling completely overwhelmed 😵‍💫 but trying to feel grounded 🌿 and grateful 🙏,4
23,i have the feeling she was amused 😄 and delighted 😊,1
24,i was able to help chai lifeline with your support ❤️ and encouragement 🌟 is a great feeling 😌,1
25,i already feel like i messed up 😣 though because i dont usually eat at all in the morning 🌅,3
26,i still love my so ❤️ but when he is feeling stressed 😤 it hurts 💔,0
27,i feel so inhibited 😶 in someone elses kitchen 🍳 like im painting on someone elses picture 🎨,0
28,i become overwhelmed 😩 and feel defeated 😔,0
29,i feel kinda appalled 😳 that she feels like she needs to explain everything 📢,3
30,i feel more superior 😌 dead chicken 🍗 or grieving child 😢,1
31,i get giddy 🤭 over feeling elegant 👗 in a perfectly fitted pencil skirt ✨,1
32,i remember feeling acutely distressed 😭 for a few days,4
33,i am left feeling impressed 🤩 by more than a few companies 🏢,5
34,i climbed the hill feeling frustrated 😤 that id paced wrong ⛰️,3
35,i would feel totally accepted 🤗 and safe 🛡️ in the right place,1
36,i am not sure what would make me feel content 😌,1
37,i have been feeling the need to be creative 🎨✨,1
38,if someone makes you feel less 😔 step away 🚶‍♀️,1
39,i feel a bit rude 😬 writing to ask for gifts 🎁 because i feel greedy 🤑,3
40,i need to feel protected 🛡️ and safe 🤍,1
41,i hope you will feel inspired 🌟✨,1
42,i already have my christmas trees 🎄 up and am feeling festive 🎉,1
43,for the days im feeling brave 💪 but dont want to be pale 🌤️,1
44,i feel very strongly passionate 🔥 about things,1
45,i was feeling so discouraged 😞,0
46,i was feeling listless 😩 from the need of new things 🔄,0
47,i cant let go of that sad feeling 😢 that i want to be accepted 🤍,2
48,i stopped feeling cold ❄️ and began feeling hot 🔥,3
49,i found myself feeling a little discouraged 😕 that morning 🌅,0
50,i feel selfish 😔 and spoiled 😒,3
51,i was feeling unsure 🤷‍♀️ that i might go somewhere unintended 🛤️,4
52,i feel like a fake 🎭 in the realm of science fiction 🚀,0
